Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.41, 0.74, 0.48, -1.51, -0.49, 0.40
1, 0.42, 0.74, 0.48, -1.59, -0.34, -0.21
2, 0.42, 0.74, 0.48, -1.91, -0.02, -0.78
3, 0.42, 0.74, 0.50, -1.91, -0.55, -1.13
4, 0.42, 0.74, 0.49, -1.73, -0.18, -0.46
5, 0.43, 0.74, 0.50, -1.33, -0.21, 0.18
6, 0.42, 0.73, 0.49, -1.45, -0.23, 0.82
7, 0.42, 0.74, 0.48, -1.28, 0.32, 1.07
8, 0.41, 0.74, 0.48, -1.34, 0.46, 0.66
9, 0.42, 0.74, 0.48, -1.33, 0.35, 0.63
10, 0.42, 0.73, 0.48, -0.92, 0.99, 0.37
11, 0.42, 0.73, 0.47, -0.67, 0.95, -0.03
12, 0.43, 0.74, 0.49, -1.05, 0.79, -0.21
13, 0.43, 0.74, 0.49, -1.24, 0.79, 0.15
14, 0.43, 0.75, 0.48, -1.07, 0.64, 0.47
15, 0.43, 0.75, 0.48, -0.99, 0.76, 0.79
16, 0.43, 0.74, 0.48, -0.89, 1.45, 0.55
17, 0.42, 0.74, 0.48, -0.70, 2.14, 0.43
18, 0.43, 0.74, 0.48, -0.78, 2.53, 0.17
19, 0.42, 0.73, 0.48, -0.61, 2.00, -0.31
20, 0.43, 0.74, 0.48, -0.70, 1.63, -0.18
21, 0.43, 0.75, 0.49, -1.15, 0.85, 0.34
22, 0.42, 0.74, 0.49, -1.65, 0.66, 0.75
23, 0.42, 0.74, 0.49, -2.03, 0.92, 0.75
24, 0.42, 0.74, 0.48, -2.09, 0.85, 0.03
25, 0.42, 0.74, 0.49, -2.52, 0.66, -0.47
26, 0.42, 0.74, 0.49, -2.64, 0.53, -0.96
27, 0.43, 0.73, 0.49, -2.76, 0.66, -0.76
28, 0.43, 0.73, 0.49, -2.81, 0.21, -0.72
29, 0.42, 0.73, 0.48, -2.55, 0.66, -0.98
