Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.69, 0.50, 0.53, -2.00, -1.11, -0.27
1, 0.69, 0.50, 0.52, -2.55, -1.11, -0.61
2, 0.69, 0.50, 0.53, -1.95, -1.16, -0.43
3, 0.70, 0.50, 0.53, -1.18, -0.58, 0.17
4, 0.69, 0.50, 0.52, -1.30, -0.29, 0.69
5, 0.70, 0.50, 0.53, -0.61, 0.50, 1.13
6, 0.69, 0.51, 0.52, -0.61, 0.35, 0.75
7, 0.70, 0.50, 0.52, -0.14, 1.19, 1.01
8, 0.69, 0.50, 0.52, 0.35, 1.22, 1.27
9, 0.68, 0.51, 0.52, 0.29, 0.55, -0.18
10, 0.69, 0.50, 0.52, -0.26, -0.49, -0.21
11, 0.69, 0.50, 0.53, -0.70, -0.05, 0.56
12, 0.69, 0.50, 0.53, -1.08, 0.15, 0.79
13, 0.69, 0.51, 0.53, -2.03, -0.64, 0.27
14, 0.68, 0.51, 0.53, -2.29, -1.91, -0.82
15, 0.69, 0.51, 0.53, -1.73, -1.80, -0.81
16, 0.69, 0.50, 0.53, -1.89, -1.25, -0.40
17, 0.69, 0.50, 0.53, -2.17, -0.40, -0.49
18, 0.69, 0.50, 0.53, -2.72, 1.05, 0.02
19, 0.70, 0.50, 0.52, -2.29, 0.18, -0.60
20, 0.70, 0.50, 0.52, -2.27, -0.05, -0.38
21, 0.70, 0.50, 0.52, -2.44, -0.66, -0.43
22, 0.69, 0.50, 0.52, -3.10, -1.51, -0.49
23, 0.68, 0.49, 0.52, -2.69, -1.76, -0.44
24, 0.69, 0.49, 0.52, -1.77, -0.17, 0.32
25, 0.70, 0.51, 0.53, -1.91, 0.55, 0.46
26, 0.70, 0.51, 0.52, -1.45, 0.66, 0.72
27, 0.70, 0.51, 0.53, -2.12, -0.63, 0.47
28, 0.69, 0.51, 0.53, -1.59, -0.23, 0.38
29, 0.69, 0.51, 0.53, -0.98, -0.35, 1.08
30, 0.69, 0.50, 0.52, -0.79, -1.04, 0.85
31, 0.69, 0.49, 0.53, -1.13, -1.13, -0.08
32, 0.69, 0.49, 0.52, -0.78, 0.24, -0.34
33, 0.69, 0.50, 0.53, -1.37, 1.88, -0.23
34, 0.69, 0.50, 0.52, -1.40, 2.21, -0.47
35, 0.69, 0.50, 0.53, -0.41, 1.15, -0.58
36, 0.69, 0.50, 0.52, 0.18, 1.27, -1.65
37, 0.69, 0.50, 0.50, 1.85, 1.44, -2.90
38, 0.69, 0.50, 0.50, 3.85, 2.78, -3.27
39, 0.68, 0.51, 0.50, 6.99, 0.31, -6.56
40, 0.68, 0.49, 0.51, 9.85, -4.70, -10.26
41, 0.67, 0.49, 0.54, 11.65, -12.03, -19.10
42, 0.67, 0.53, 0.56, 11.04, -20.09, -31.59
43, 0.67, 0.54, 0.54, 11.24, -25.27, -43.33
44, 0.68, 0.54, 0.50, 9.95, -28.41, -53.63
45, 0.68, 0.54, 0.49, 7.16, -29.47, -61.88
46, 0.69, 0.55, 0.50, 7.44, -35.92, -68.76
47, 0.59, 0.51, 0.40, 13.25, -25.19, -64.31
48, 0.73, 0.54, 0.50, 12.67, -17.01, -57.36
49, 0.73, 0.55, 0.47, 13.28, -18.14, -54.49
50, 0.72, 0.56, 0.46, 14.40, -23.13, -54.99
51, 0.72, 0.59, 0.47, 11.10, -25.74, -53.21
52, 0.72, 0.58, 0.47, 9.73, -24.69, -51.16
53, 0.73, 0.57, 0.46, 11.65, -24.46, -47.69
54, 0.70, 0.60, 0.46, 9.54, -29.13, -46.87
55, 0.66, 0.60, 0.44, 11.88, -32.38, -40.84
56, 0.83, 0.66, 0.46, 16.79, -23.11, -31.22
57, 0.71, 0.58, 0.53, 14.27, -18.14, -17.53
58, 0.70, 0.60, 0.43, 11.56, -16.50, -4.46
59, 0.71, 0.59, 0.42, 11.95, -14.87, 10.06
60, 0.78, 0.57, 0.40, 11.21, -6.21, 33.16
61, 0.82, 0.60, 0.34, 11.37, 0.90, 60.67
62, 0.90, 0.58, 0.33, 10.14, 5.80, 102.95
63, 0.83, 0.52, 0.40, 12.37, -3.48, 130.20
64, 0.73, 0.58, 0.50, 7.08, -12.27, 132.67
65, 0.69, 0.59, 0.57, -0.03, -12.34, 127.39
66, 0.63, 0.55, 0.63, -4.53, -5.05, 112.00
67, 0.65, 0.53, 0.58, -6.63, 15.51, 107.11
68, 0.63, 0.50, 0.51, -3.51, 28.26, 100.99
69, 0.62, 0.51, 0.45, -5.56, 36.50, 95.10
70, 0.63, 0.49, 0.43, 1.94, 33.33, 86.79
71, 0.65, 0.54, 0.41, 1.22, 32.05, 72.31
72, 0.71, 0.52, 0.41, 4.87, 20.89, 57.73
73, 0.73, 0.52, 0.43, 4.23, 5.69, 39.30
74, 0.73, 0.48, 0.43, 1.94, -7.01, 22.34
