Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.39, 0.76, 0.46, -1.27, 0.70, 0.00
1, 0.40, 0.77, 0.47, -1.54, 0.85, -0.32
2, 0.40, 0.76, 0.47, -1.54, 0.76, -0.24
3, 0.40, 0.77, 0.46, -1.82, 0.46, -0.38
4, 0.40, 0.77, 0.47, -1.60, 0.70, -0.52
5, 0.40, 0.77, 0.47, -1.48, 0.50, -0.43
6, 0.40, 0.77, 0.45, -1.66, 0.46, -0.31
7, 0.39, 0.76, 0.47, -1.65, -0.02, -0.26
8, 0.40, 0.77, 0.45, -1.53, -0.26, -0.34
9, 0.40, 0.76, 0.45, -1.28, -0.08, -0.52
10, 0.40, 0.76, 0.47, -0.96, 0.23, -0.52
11, 0.40, 0.77, 0.47, -1.28, 0.31, -0.43
12, 0.40, 0.77, 0.47, -1.13, 0.69, -0.35
13, 0.39, 0.78, 0.46, -1.13, 0.73, 0.14
14, 0.40, 0.77, 0.47, -0.93, 0.81, -0.21
15, 0.40, 0.77, 0.45, -1.01, 0.84, -0.50
16, 0.40, 0.77, 0.46, -1.05, 0.64, -0.41
17, 0.41, 0.76, 0.45, -0.93, 0.27, -0.44
18, 0.41, 0.77, 0.46, -0.76, 0.21, -0.14
19, 0.40, 0.76, 0.46, -1.07, 0.26, -0.21
20, 0.40, 0.76, 0.45, -0.85, 0.32, -0.08
21, 0.40, 0.75, 0.46, -0.87, 0.09, -0.32
22, 0.40, 0.76, 0.46, -0.92, 0.31, -0.69
23, 0.39, 0.76, 0.47, -0.69, 0.24, -0.72
24, 0.39, 0.76, 0.46, -0.40, 0.70, -1.18
25, 0.39, 0.76, 0.46, -0.32, 0.78, -1.59
26, 0.40, 0.76, 0.46, -0.15, 0.75, -1.47
27, 0.39, 0.76, 0.47, 0.06, 0.93, -1.44
28, 0.40, 0.76, 0.46, -0.11, 0.93, -1.60
29, 0.38, 0.77, 0.46, -0.26, 0.89, -1.76
30, 0.39, 0.77, 0.47, -0.37, 0.53, -1.44
31, 0.39, 0.78, 0.46, -0.58, 0.49, -1.51
32, 0.40, 0.79, 0.47, -1.01, 0.53, -1.31
33, 0.40, 0.79, 0.47, -1.31, 0.11, -0.66
34, 0.39, 0.79, 0.46, -1.79, -0.66, -0.20
35, 0.39, 0.78, 0.47, -1.92, -1.82, -0.18
36, 0.39, 0.76, 0.46, -1.63, -2.67, -0.58
37, 0.37, 0.75, 0.44, -0.17, -3.79, -1.45
38, 0.37, 0.72, 0.41, 3.02, -2.72, -3.30
39, 0.38, 0.70, 0.38, 8.56, -2.84, -4.50
40, 0.40, 0.62, 0.42, 16.76, -2.82, -7.74
41, 0.35, 0.78, 0.48, 12.75, -10.87, -7.92
42, 0.35, 0.78, 0.46, 9.94, -15.13, -8.76
43, 0.32, 0.78, 0.45, 10.85, -16.11, -11.45
44, 0.29, 0.79, 0.43, 10.41, -20.87, -13.13
45, 0.34, 0.80, 0.46, 11.80, -14.00, -19.21
46, 0.29, 0.80, 0.45, 8.06, -11.68, -23.30
47, 0.31, 0.79, 0.41, 8.05, -1.36, -29.22
48, 0.30, 0.81, 0.47, 9.97, -9.88, -29.47
49, 0.33, 0.79, 0.42, 9.08, -0.35, -31.71
50, 0.35, 0.78, 0.40, 11.05, 1.68, -31.94
51, 0.36, 0.80, 0.41, 16.41, 8.05, -30.37
52, 0.36, 0.88, 0.48, 10.46, -5.19, -23.42
53, 0.47, 0.87, 0.45, 4.95, 9.74, -22.41
54, 0.42, 0.85, 0.50, 6.78, -1.94, -13.69
55, 0.42, 0.82, 0.44, 5.16, -1.74, -11.10
56, 0.43, 0.80, 0.41, 2.64, -1.39, -11.94
57, 0.41, 0.84, 0.51, 4.08, -2.52, -7.94
58, 0.43, 0.82, 0.42, 1.56, -0.44, -7.02
59, 0.41, 0.81, 0.42, 1.16, -2.34, -6.49
60, 0.39, 0.83, 0.44, 0.73, -2.72, -6.85
61, 0.40, 0.84, 0.44, -1.53, -2.58, -6.64
62, 0.39, 0.83, 0.44, -3.18, -3.30, -5.16
63, 0.40, 0.81, 0.42, -3.44, -3.07, -4.03
64, 0.40, 0.81, 0.42, -2.93, -2.23, -2.61
65, 0.40, 0.80, 0.42, -2.98, -2.06, -0.55
66, 0.39, 0.80, 0.42, -3.13, -1.48, 1.21
67, 0.38, 0.80, 0.43, -2.66, -0.32, 2.60
68, 0.38, 0.81, 0.43, -2.58, 0.72, 3.13
69, 0.37, 0.81, 0.42, -2.75, 1.89, 2.98
70, 0.37, 0.81, 0.43, -3.36, 2.96, 2.43
71, 0.37, 0.81, 0.41, -2.82, 2.78, 1.76
72, 0.36, 0.80, 0.42, -2.61, 2.15, 0.31
73, 0.38, 0.81, 0.44, -3.16, 2.78, -0.50
74, 0.39, 0.81, 0.43, -3.44, 4.31, -0.73
75, 0.40, 0.81, 0.41, -3.59, 7.19, 0.29
76, 0.41, 0.80, 0.42, -3.28, 10.67, 1.89
77, 0.42, 0.81, 0.43, -2.76, 13.73, 3.86
78, 0.42, 0.82, 0.45, -4.26, 13.74, 6.21
79, 0.41, 0.83, 0.49, -7.40, 11.88, 8.12
80, 0.39, 0.81, 0.47, -9.57, 9.53, 9.68
81, 0.37, 0.82, 0.46, -11.28, 6.52, 10.35
82, 0.36, 0.81, 0.46, -12.06, 4.32, 10.84
83, 0.35, 0.80, 0.43, -11.95, 3.27, 10.89
84, 0.34, 0.79, 0.42, -10.26, 2.67, 10.52
85, 0.33, 0.78, 0.42, -7.97, 2.44, 9.45
86, 0.32, 0.79, 0.44, -7.47, 1.19, 8.44
87, 0.32, 0.79, 0.44, -5.98, 1.69, 6.60
88, 0.32, 0.79, 0.44, -4.49, 2.12, 4.79
89, 0.33, 0.80, 0.45, -4.24, 2.32, 3.39
90, 0.33, 0.81, 0.44, -4.52, 2.40, 2.79
91, 0.34, 0.80, 0.43, -4.26, 2.43, 2.53
92, 0.34, 0.79, 0.44, -4.47, 2.50, 2.84
