Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.73, 0.44, 0.53, -3.62, -1.56, -0.99
1, 0.73, 0.45, 0.53, -4.27, -2.63, -1.16
2, 0.73, 0.45, 0.52, -4.53, -2.37, -1.07
3, 0.74, 0.43, 0.53, -5.11, -1.10, -0.69
4, 0.73, 0.44, 0.53, -5.37, -0.52, -1.22
5, 0.73, 0.45, 0.52, -5.62, -0.46, -1.24
6, 0.73, 0.44, 0.53, -5.40, -1.37, -1.05
7, 0.73, 0.45, 0.53, -4.44, -2.21, -1.24
8, 0.73, 0.44, 0.52, -4.11, -1.57, -1.07
9, 0.73, 0.44, 0.52, -3.24, -1.31, -0.89
10, 0.74, 0.44, 0.52, -2.08, -0.24, -0.95
11, 0.73, 0.44, 0.51, -0.64, 0.66, -0.82
12, 0.73, 0.44, 0.52, 0.67, 0.92, -0.43
13, 0.73, 0.44, 0.52, 0.89, 1.89, -0.31
14, 0.73, 0.44, 0.52, 1.59, 0.84, -0.37
15, 0.73, 0.44, 0.52, 1.22, 1.86, 0.08
16, 0.74, 0.44, 0.52, 0.81, 2.31, -0.06
17, 0.74, 0.45, 0.51, 1.07, 2.41, -0.11
18, 0.72, 0.45, 0.52, 0.29, 1.92, -0.03
19, 0.73, 0.45, 0.51, -0.15, 0.29, 0.12
20, 0.73, 0.44, 0.52, -0.67, -0.08, 0.03
21, 0.73, 0.44, 0.52, -0.66, 0.11, -0.41
22, 0.73, 0.44, 0.52, -1.36, 1.19, -0.49
23, 0.73, 0.45, 0.51, -1.80, 0.81, -0.34
24, 0.73, 0.44, 0.52, -1.76, -0.08, -0.20
25, 0.73, 0.45, 0.53, -1.95, -0.46, -0.46
26, 0.73, 0.44, 0.53, -1.36, -0.58, -0.53
27, 0.73, 0.44, 0.52, -1.30, 0.63, -0.24
28, 0.73, 0.44, 0.52, -0.73, 0.61, -0.67
29, 0.73, 0.44, 0.51, -0.61, 1.18, -0.69
30, 0.74, 0.44, 0.52, -0.12, 0.82, -0.81
31, 0.73, 0.45, 0.52, -0.08, 0.75, -0.96
32, 0.74, 0.44, 0.53, 0.00, -0.08, -0.87
33, 0.73, 0.45, 0.52, -0.14, 0.24, -0.84
34, 0.74, 0.45, 0.52, -0.46, 0.21, -0.95
35, 0.74, 0.45, 0.52, -0.76, -0.21, -0.90
36, 0.73, 0.45, 0.52, -1.34, -0.20, -0.81
37, 0.73, 0.45, 0.52, -1.04, -0.05, -0.46
38, 0.72, 0.45, 0.52, -0.72, 0.85, 0.21
39, 0.73, 0.44, 0.52, -0.21, 1.68, 0.79
40, 0.74, 0.44, 0.52, -0.35, 1.95, 0.14
41, 0.74, 0.44, 0.52, -0.84, 1.39, -0.53
42, 0.73, 0.46, 0.51, -1.18, -0.21, -0.90
43, 0.73, 0.46, 0.52, -1.24, -0.96, -0.84
44, 0.72, 0.45, 0.52, -1.08, -0.73, -0.89
45, 0.73, 0.45, 0.52, -0.49, -0.41, -1.18
46, 0.72, 0.45, 0.53, -0.20, 0.21, -1.34
47, 0.72, 0.45, 0.51, -0.58, 0.52, -1.57
48, 0.73, 0.44, 0.53, -0.31, 1.08, -1.60
49, 0.73, 0.44, 0.52, -0.87, 0.81, -1.80
50, 0.73, 0.45, 0.52, -1.04, -0.66, -2.75
51, 0.73, 0.45, 0.52, -1.10, -2.44, -4.60
52, 0.72, 0.46, 0.52, -1.37, -4.06, -7.48
53, 0.73, 0.47, 0.52, -1.33, -5.39, -10.56
54, 0.72, 0.45, 0.52, -0.38, -6.81, -14.14
55, 0.71, 0.47, 0.49, 0.66, -9.42, -21.51
56, 0.70, 0.50, 0.45, -0.72, -12.66, -30.15
57, 0.72, 0.47, 0.48, 0.37, -17.48, -35.97
58, 0.72, 0.45, 0.52, 3.31, -23.34, -43.22
59, 0.72, 0.46, 0.52, 3.27, -29.22, -50.64
60, 0.69, 0.47, 0.54, 3.62, -34.61, -58.67
61, 0.65, 0.56, 0.52, 1.45, -38.50, -78.11
62, 0.74, 0.50, 0.52, 3.01, -32.93, -68.72
63, 0.73, 0.50, 0.52, 1.53, -30.26, -63.59
64, 0.73, 0.50, 0.50, 4.53, -29.83, -58.18
65, 0.71, 0.52, 0.47, 3.95, -32.99, -55.92
66, 0.69, 0.56, 0.46, 2.46, -36.52, -59.42
67, 0.71, 0.56, 0.47, 3.97, -39.66, -67.28
68, 0.67, 0.56, 0.45, 3.88, -41.86, -75.48
69, 0.66, 0.60, 0.45, 2.78, -42.95, -85.83
70, 0.67, 0.57, 0.46, 2.66, -39.71, -89.85
71, 0.70, 0.59, 0.48, 2.93, -30.95, -84.29
72, 0.67, 0.62, 0.45, 1.97, -23.27, -86.60
73, 0.70, 0.59, 0.43, 1.57, -15.27, -79.54
74, 0.69, 0.61, 0.45, -0.73, -9.04, -73.10
75, 0.69, 0.60, 0.45, -0.21, -6.99, -66.95
76, 0.67, 0.62, 0.43, -1.59, -5.21, -62.41
77, 0.66, 0.63, 0.42, -3.44, -4.53, -56.12
78, 0.69, 0.61, 0.45, -2.44, -2.61, -47.42
79, 0.65, 0.62, 0.45, -1.88, -1.47, -43.88
80, 0.62, 0.62, 0.46, -2.02, -0.67, -40.70
81, 0.64, 0.63, 0.44, -2.75, -0.09, -35.89
82, 0.63, 0.64, 0.45, -2.89, -0.49, -34.17
83, 0.61, 0.66, 0.46, -3.59, 0.23, -33.71
84, 0.60, 0.65, 0.45, -3.82, -2.40, -34.49
85, 0.60, 0.66, 0.45, -4.56, -3.53, -33.60
86, 0.63, 0.65, 0.44, -5.86, -2.76, -29.30
87, 0.61, 0.65, 0.45, -6.47, -3.45, -28.64
88, 0.62, 0.63, 0.45, -6.18, -3.63, -28.72
89, 0.62, 0.64, 0.43, -5.30, -2.84, -25.86
90, 0.62, 0.65, 0.43, -5.76, -1.83, -23.66
91, 0.62, 0.65, 0.44, -5.42, -0.24, -19.94
92, 0.61, 0.66, 0.42, -3.94, 1.15, -16.98
93, 0.60, 0.66, 0.42, -3.10, 2.44, -14.70
94, 0.60, 0.66, 0.45, -2.06, 3.98, -10.21
95, 0.59, 0.68, 0.44, -2.37, 4.08, -10.24
96, 0.61, 0.67, 0.43, -2.08, 3.60, -5.95
97, 0.62, 0.67, 0.42, -2.78, 3.11, -2.76
98, 0.63, 0.65, 0.43, -2.43, 4.23, 3.34
99, 0.63, 0.66, 0.42, -2.53, 4.70, 8.85
100, 0.63, 0.66, 0.43, -2.46, 6.12, 15.02
101, 0.63, 0.66, 0.43, -1.39, 7.73, 18.41
102, 0.62, 0.66, 0.43, -0.64, 8.58, 22.60
