Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.41, 0.74, 0.50, -1.66, -0.95, 0.72
1, 0.41, 0.73, 0.51, -1.82, -1.02, 0.81
2, 0.41, 0.73, 0.50, -1.66, -1.02, 0.40
3, 0.42, 0.73, 0.50, -1.88, -0.93, 0.55
4, 0.42, 0.72, 0.50, -1.59, -1.22, 0.52
5, 0.42, 0.73, 0.50, -1.36, -1.40, 0.70
6, 0.42, 0.73, 0.50, -1.07, -1.37, 0.81
7, 0.42, 0.73, 0.50, -0.81, -1.86, 1.31
8, 0.41, 0.73, 0.50, -0.44, -3.07, 1.71
9, 0.42, 0.75, 0.50, -0.85, -2.73, 2.24
10, 0.49, 0.75, 0.52, -14.12, 4.06, 12.56
11, 0.42, 0.75, 0.49, 1.07, -1.25, 1.02
12, 0.43, 0.72, 0.48, -0.23, -5.04, 1.48
13, 0.42, 0.74, 0.51, -1.97, -1.85, 2.58
14, 0.41, 0.71, 0.47, -0.84, -2.56, 1.82
15, 0.42, 0.73, 0.50, -0.72, -1.68, 1.31
16, 0.42, 0.72, 0.50, -0.63, 0.87, 0.00
17, 0.42, 0.72, 0.49, -0.85, 0.82, 0.11
18, 0.43, 0.73, 0.49, -0.99, 0.79, 0.47
19, 0.42, 0.73, 0.49, -0.89, 1.08, 0.03
20, 0.42, 0.73, 0.49, -1.07, 1.16, -0.31
21, 0.42, 0.73, 0.49, -0.92, 1.11, -0.46
22, 0.43, 0.73, 0.49, -1.16, 1.37, -0.67
23, 0.43, 0.73, 0.49, -1.02, 1.45, -0.49
24, 0.42, 0.73, 0.50, -1.36, 1.01, -0.34
25, 0.42, 0.74, 0.51, -1.24, 0.95, -0.34
26, 0.42, 0.73, 0.50, -1.57, 0.99, -0.03
27, 0.41, 0.74, 0.50, -1.62, 1.11, -0.05
28, 0.41, 0.74, 0.50, -1.76, 1.27, -0.31
29, 0.42, 0.73, 0.50, -1.37, 1.91, -0.21
30, 0.41, 0.73, 0.49, -1.18, 1.18, 0.24
31, 0.41, 0.72, 0.50, -1.16, 1.37, 0.12
32, 0.41, 0.73, 0.50, -1.44, 1.16, 0.27
33, 0.42, 0.73, 0.50, -1.27, 0.75, 0.23
34, 0.42, 0.73, 0.50, -1.22, 0.08, 0.15
