Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.40, 0.78, 0.47, -2.02, -0.14, 0.24
1, 0.40, 0.78, 0.47, -1.94, -0.38, 0.47
2, 0.39, 0.77, 0.47, -2.02, -0.53, 0.55
3, 0.39, 0.76, 0.47, -1.89, -0.18, 0.06
4, 0.40, 0.76, 0.46, -1.86, 0.20, -0.23
5, 0.40, 0.75, 0.46, -1.59, 0.92, -0.31
6, 0.40, 0.76, 0.47, -1.16, 1.21, -0.81
7, 0.40, 0.75, 0.46, -1.08, 0.50, -1.27
8, 0.42, 0.76, 0.47, -1.54, -0.17, -0.76
9, 0.41, 0.75, 0.47, -1.86, 0.03, -0.60
10, 0.41, 0.76, 0.47, -1.54, 0.05, -0.52
11, 0.41, 0.76, 0.45, -1.27, -0.15, -0.03
12, 0.40, 0.76, 0.47, -1.08, 0.17, 0.24
13, 0.40, 0.76, 0.46, -1.11, 0.23, -0.09
14, 0.40, 0.76, 0.47, -1.31, 0.64, -0.40
15, 0.39, 0.76, 0.47, -1.97, 0.75, -0.63
16, 0.40, 0.76, 0.47, -1.79, 0.69, -0.70
17, 0.40, 0.77, 0.47, -2.20, 0.52, -0.35
18, 0.40, 0.76, 0.47, -2.15, 0.95, -0.44
19, 0.39, 0.76, 0.46, -2.27, 0.81, -0.84
20, 0.41, 0.76, 0.46, -1.86, 0.79, -0.96
21, 0.41, 0.77, 0.46, -1.82, 0.44, -0.73
22, 0.40, 0.76, 0.47, -1.77, 0.40, -0.99
23, 0.41, 0.76, 0.48, -1.76, 0.23, -1.04
24, 0.40, 0.75, 0.47, -1.86, -0.20, -0.75
25, 0.40, 0.76, 0.47, -1.73, -0.17, -0.79
26, 0.40, 0.75, 0.46, -1.88, -0.02, -1.13
27, 0.40, 0.76, 0.48, -1.86, 0.18, -1.50
28, 0.40, 0.76, 0.47, -2.32, 0.38, -1.48
29, 0.40, 0.76, 0.46, -1.98, 0.69, -1.24
30, 0.40, 0.76, 0.48, -2.60, 0.70, -1.30
31, 0.39, 0.77, 0.47, -2.84, 0.46, -1.31
32, 0.40, 0.76, 0.47, -2.72, 0.18, -1.19
33, 0.40, 0.77, 0.47, -2.41, 0.43, -1.01
34, 0.40, 0.76, 0.48, -2.29, 0.44, -0.98
35, 0.40, 0.77, 0.47, -2.11, -0.40, 0.11
36, 0.39, 0.76, 0.47, -1.57, -0.08, 0.17
37, 0.39, 0.77, 0.48, -1.10, -0.32, 0.11
38, 0.39, 0.77, 0.48, -0.64, -0.85, -0.08
39, 0.38, 0.77, 0.47, -0.66, -2.50, -0.24
40, 0.39, 0.76, 0.47, -0.08, -4.40, -0.95
41, 0.39, 0.75, 0.46, 1.01, -6.20, -1.44
42, 0.39, 0.75, 0.45, 1.79, -7.42, -2.05
43, 0.38, 0.74, 0.45, 2.63, -9.11, -2.78
44, 0.39, 0.73, 0.45, 3.76, -9.53, -3.85
45, 0.38, 0.72, 0.45, 5.54, -9.86, -4.96
46, 0.37, 0.74, 0.45, 8.12, -9.91, -6.93
47, 0.38, 0.75, 0.46, 7.88, -11.42, -6.92
48, 0.36, 0.75, 0.45, 8.05, -11.05, -9.31
49, 0.36, 0.76, 0.45, 8.41, -10.44, -12.05
50, 0.35, 0.76, 0.45, 7.60, -11.60, -14.05
51, 0.33, 0.76, 0.44, 8.00, -13.68, -17.11
52, 0.31, 0.77, 0.45, 7.88, -16.50, -20.98
53, 0.37, 0.77, 0.47, 7.73, -13.98, -24.81
54, 0.33, 0.80, 0.46, 4.06, -9.95, -28.00
55, 0.32, 0.79, 0.41, 3.47, 1.74, -34.26
56, 0.32, 0.80, 0.47, 0.52, -5.66, -34.20
57, 0.33, 0.79, 0.43, 0.12, 0.05, -37.76
58, 0.36, 0.82, 0.45, 1.02, 1.95, -36.05
59, 0.37, 0.83, 0.45, -0.35, 0.93, -33.66
60, 0.39, 0.85, 0.47, -0.34, 0.78, -30.29
61, 0.43, 0.85, 0.48, -0.67, 0.66, -25.21
62, 0.47, 0.83, 0.46, -0.44, 2.09, -20.14
63, 0.49, 0.81, 0.45, 0.78, 1.01, -14.27
64, 0.47, 0.80, 0.45, 1.04, 0.92, -9.86
65, 0.45, 0.80, 0.45, 0.89, -2.96, -7.18
66, 0.44, 0.80, 0.45, 0.95, -5.22, -4.75
67, 0.43, 0.79, 0.45, 1.31, -5.10, -5.39
68, 0.44, 0.80, 0.44, 6.72, -6.92, -10.15
69, 0.40, 0.78, 0.45, -0.23, -6.37, -4.85
70, 0.39, 0.82, 0.46, -1.11, -7.83, -4.63
71, 0.37, 0.81, 0.45, -2.93, -10.15, -6.02
72, 0.37, 0.81, 0.43, -2.70, -7.95, -5.40
73, 0.37, 0.81, 0.43, -2.38, -7.60, -4.47
74, 0.35, 0.81, 0.43, 0.26, -7.92, -4.63
75, 0.35, 0.81, 0.43, -1.37, -3.34, -1.71
76, 0.35, 0.81, 0.42, 1.62, 0.23, -1.65
77, 0.34, 0.82, 0.44, 1.53, -0.21, -1.40
78, 0.35, 0.81, 0.43, 2.32, 0.75, -1.77
79, 0.34, 0.81, 0.44, 1.74, -0.66, -2.17
80, 0.34, 0.81, 0.43, 1.45, 0.20, -2.67
81, 0.35, 0.81, 0.42, 0.66, 0.46, -2.43
82, 0.35, 0.81, 0.44, -0.34, -0.37, -2.89
83, 0.36, 0.81, 0.44, -1.48, -1.40, -2.60
84, 0.34, 0.80, 0.42, -1.57, -1.30, -2.78
85, 0.34, 0.79, 0.43, -1.63, -1.16, -3.28
86, 0.35, 0.79, 0.43, -1.65, -0.34, -3.19
87, 0.36, 0.78, 0.43, -1.73, 0.56, -2.34
88, 0.36, 0.79, 0.44, -1.63, 1.57, -1.42
89, 0.36, 0.80, 0.43, -1.33, 2.78, -0.95
90, 0.37, 0.80, 0.43, -1.56, 3.33, -0.23
91, 0.37, 0.81, 0.43, -1.73, 4.11, 0.37
92, 0.37, 0.81, 0.42, -1.45, 5.66, 1.05
93, 0.39, 0.81, 0.41, -1.21, 7.65, 3.05
94, 0.38, 0.81, 0.44, -0.17, 7.80, 4.84
95, 0.36, 0.80, 0.42, -0.08, 6.81, 6.08
96, 0.35, 0.80, 0.43, 0.70, 6.81, 6.18
97, 0.37, 0.80, 0.44, 0.47, 6.52, 7.37
98, 0.37, 0.80, 0.42, 0.56, 7.77, 8.40
99, 0.38, 0.80, 0.42, 1.79, 9.25, 10.18
100, 0.41, 0.79, 0.41, 3.54, 11.89, 12.92
