Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.66, 0.53, 0.54, -0.72, 1.98, -0.40
1, 0.66, 0.53, 0.53, -1.45, 1.86, -0.31
2, 0.67, 0.53, 0.54, -1.73, 1.08, -0.23
3, 0.66, 0.53, 0.54, -1.80, 0.70, -0.32
4, 0.67, 0.53, 0.54, -1.31, 0.99, -0.40
5, 0.67, 0.52, 0.54, -1.19, 0.40, -0.44
6, 0.67, 0.52, 0.53, -1.63, -0.60, -0.40
7, 0.67, 0.52, 0.54, -0.52, -0.24, -0.15
8, 0.68, 0.52, 0.54, 0.05, 0.84, 0.06
9, 0.68, 0.52, 0.53, -0.41, 0.44, -0.11
10, 0.67, 0.53, 0.54, -0.21, -0.23, -0.38
11, 0.66, 0.53, 0.54, 0.29, -0.29, -0.50
12, 0.66, 0.53, 0.54, -0.29, -0.81, -0.40
13, 0.67, 0.53, 0.54, -1.27, -1.34, -0.26
14, 0.66, 0.52, 0.54, -1.28, -0.92, -0.11
15, 0.67, 0.52, 0.54, -1.36, -0.78, -0.09
16, 0.67, 0.53, 0.54, -1.53, -1.86, -0.47
17, 0.67, 0.53, 0.54, -0.58, -1.60, -0.72
18, 0.67, 0.53, 0.53, 0.96, -0.52, -1.07
19, 0.67, 0.54, 0.53, 0.75, -2.49, -1.18
20, 0.67, 0.54, 0.53, 2.52, 2.34, -0.89
21, 0.67, 0.53, 0.54, 1.07, 4.02, -1.07
22, 0.67, 0.52, 0.53, -3.68, 1.65, -1.51
23, 0.67, 0.52, 0.55, -3.07, 0.43, -1.30
24, 0.66, 0.53, 0.54, -4.17, -0.24, -1.18
25, 0.66, 0.52, 0.53, -3.95, -2.40, -1.18
26, 0.66, 0.53, 0.54, -2.38, -2.03, -0.87
27, 0.67, 0.52, 0.54, -0.47, -0.41, -0.32
28, 0.67, 0.53, 0.54, 0.99, 1.85, -0.26
29, 0.67, 0.53, 0.53, 2.27, 3.73, -0.17
30, 0.67, 0.53, 0.53, 3.08, 4.40, 0.34
31, 0.67, 0.53, 0.53, 2.58, 3.27, 0.26
32, 0.67, 0.53, 0.53, 2.49, 2.03, 0.27
33, 0.67, 0.53, 0.53, -0.43, 1.36, 0.20
34, 0.66, 0.53, 0.54, -1.25, 0.29, -0.40
35, 0.67, 0.53, 0.53, -2.34, -0.03, -0.18
36, 0.67, 0.52, 0.53, -2.02, 0.92, 0.43
37, 0.67, 0.53, 0.53, -2.11, -0.96, -0.11
38, 0.66, 0.54, 0.54, -0.87, -0.31, -0.75
