Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.38, 0.77, 0.45, -1.39, -0.18, -0.32
1, 0.37, 0.77, 0.46, -0.99, 0.46, -0.43
2, 0.38, 0.78, 0.46, -0.92, 1.01, -0.53
3, 0.38, 0.79, 0.46, -1.16, 1.01, -0.32
4, 0.38, 0.79, 0.46, -1.25, 0.69, -0.27
5, 0.38, 0.79, 0.47, -1.80, 0.31, -0.11
6, 0.38, 0.78, 0.46, -1.82, 0.31, -0.24
7, 0.38, 0.78, 0.46, -2.26, -0.27, 0.09
8, 0.37, 0.78, 0.46, -2.29, -0.70, -0.24
9, 0.38, 0.77, 0.47, -2.32, -0.87, -0.43
10, 0.37, 0.77, 0.46, -2.40, -0.89, -0.43
11, 0.38, 0.76, 0.46, -2.08, -0.55, -0.24
12, 0.37, 0.77, 0.47, -1.65, -0.15, -0.08
13, 0.37, 0.77, 0.46, -1.62, 0.05, 0.27
14, 0.37, 0.77, 0.46, -1.42, 0.15, 0.52
15, 0.37, 0.78, 0.46, -1.39, 0.60, 0.64
16, 0.37, 0.78, 0.47, -1.50, 0.89, 0.11
17, 0.38, 0.79, 0.46, -1.94, 0.64, -0.18
18, 0.38, 0.78, 0.46, -2.06, 0.44, -0.55
19, 0.40, 0.79, 0.46, -2.35, 0.06, -0.27
20, 0.39, 0.78, 0.48, -2.38, -0.03, 0.05
21, 0.39, 0.78, 0.47, -2.67, -0.49, 0.32
22, 0.40, 0.77, 0.46, -2.56, -0.89, 0.79
23, 0.38, 0.77, 0.45, -2.23, -0.49, 0.95
24, 0.37, 0.77, 0.47, -2.26, -0.70, 0.67
25, 0.37, 0.76, 0.46, -2.27, -0.75, -0.18
26, 0.38, 0.76, 0.47, -2.37, -0.50, -0.52
27, 0.38, 0.77, 0.47, -2.63, -0.29, -0.21
28, 0.37, 0.77, 0.46, -2.12, 0.09, -0.34
29, 0.38, 0.78, 0.46, -2.26, -0.31, 0.23
30, 0.38, 0.77, 0.47, -2.38, -0.34, 0.43
31, 0.38, 0.78, 0.46, -1.98, -0.11, 0.23
32, 0.37, 0.79, 0.46, -1.71, 0.18, -0.29
33, 0.38, 0.79, 0.46, -1.86, 0.14, -0.50
34, 0.39, 0.79, 0.46, -2.17, -0.44, -0.56
35, 0.39, 0.79, 0.47, -2.35, -0.92, -0.06
36, 0.40, 0.78, 0.46, -3.01, -1.57, 0.73
37, 0.39, 0.78, 0.46, -2.60, -1.80, 1.02
38, 0.38, 0.76, 0.46, -2.52, -1.27, 1.11
39, 0.37, 0.76, 0.46, -1.73, -0.92, 0.26
40, 0.37, 0.77, 0.46, -1.59, -0.53, -0.34
41, 0.38, 0.76, 0.46, -1.48, 0.08, -0.27
42, 0.37, 0.77, 0.45, -1.15, 0.12, -0.12
43, 0.38, 0.77, 0.46, -0.95, 0.26, -0.03
44, 0.37, 0.78, 0.47, -0.61, -0.34, 0.32
45, 0.37, 0.78, 0.46, -0.85, 0.05, 0.34
46, 0.38, 0.78, 0.46, -0.24, 0.40, -0.14
47, 0.39, 0.79, 0.46, 0.14, 0.79, -0.32
48, 0.39, 0.78, 0.46, 0.03, 1.62, -0.67
49, 0.39, 0.77, 0.46, 0.06, 1.71, -0.53
50, 0.39, 0.76, 0.46, 0.53, 2.15, -0.66
51, 0.39, 0.75, 0.45, 0.53, 2.78, -0.56
52, 0.39, 0.75, 0.46, 0.93, 2.98, -0.60
53, 0.38, 0.75, 0.45, 0.84, 3.21, -1.05
54, 0.38, 0.75, 0.45, 0.93, 3.36, -1.47
55, 0.37, 0.76, 0.44, 1.05, 3.39, -1.56
56, 0.38, 0.78, 0.46, 0.78, 2.29, -0.78
57, 0.38, 0.80, 0.48, 0.63, 2.08, -0.38
58, 0.37, 0.80, 0.47, -0.76, 1.10, 0.18
59, 0.37, 0.81, 0.47, -1.45, 0.87, 0.09
60, 0.37, 0.80, 0.46, -2.00, 0.00, -0.43
61, 0.37, 0.79, 0.47, -2.31, -0.46, -0.81
62, 0.38, 0.79, 0.47, -2.96, -0.96, -0.61
63, 0.39, 0.78, 0.46, -3.37, -1.24, -0.38
64, 0.40, 0.76, 0.46, -2.98, -1.19, 0.20
65, 0.39, 0.76, 0.45, -2.41, -0.72, 0.23
66, 0.38, 0.76, 0.45, -1.54, -0.49, 0.24
67, 0.39, 0.77, 0.46, -1.33, 0.03, 0.05
68, 0.38, 0.78, 0.46, -1.33, -0.37, -0.29
69, 0.38, 0.77, 0.46, -1.27, -1.02, -0.53
70, 0.38, 0.77, 0.46, -1.10, -1.48, -0.93
71, 0.39, 0.77, 0.46, -0.50, -1.85, -1.51
72, 0.39, 0.77, 0.45, 0.66, -0.50, -2.76
73, 0.38, 0.75, 0.43, 3.39, 1.30, -3.98
74, 0.37, 0.74, 0.42, 6.47, 0.79, -4.73
75, 0.36, 0.74, 0.44, 8.61, -5.62, -4.82
76, 0.31, 0.74, 0.47, 12.78, -20.53, -5.66
77, 0.27, 0.79, 0.50, 12.02, -33.21, -8.49
78, 0.26, 0.79, 0.50, 10.08, -39.92, -15.21
79, 0.25, 0.82, 0.47, 8.50, -43.98, -19.98
80, 0.17, 0.79, 0.44, 6.64, -50.79, -23.54
81, 0.29, 0.76, 0.48, 3.21, -44.93, -29.48
82, 0.33, 0.81, 0.46, 2.09, -33.89, -32.79
83, 0.34, 0.81, 0.45, -0.06, -23.37, -35.08
84, 0.34, 0.81, 0.43, 0.99, -16.79, -35.65
85, 0.37, 0.80, 0.43, 1.11, -14.12, -33.83
86, 0.42, 0.80, 0.39, 1.98, -11.11, -30.38
87, 0.43, 0.82, 0.43, 0.40, -10.27, -24.12
88, 0.47, 0.83, 0.43, 1.25, -7.59, -19.63
89, 0.47, 0.84, 0.45, -0.81, -7.22, -14.61
90, 0.44, 0.83, 0.42, -1.71, -8.55, -12.08
91, 0.41, 0.81, 0.43, -2.63, -11.05, -11.45
92, 0.43, 0.81, 0.42, -4.11, -10.21, -10.61
93, 0.43, 0.81, 0.43, -5.16, -8.81, -11.30
94, 0.41, 0.82, 0.42, -5.28, -8.44, -11.62
95, 0.44, 0.81, 0.47, -3.83, -12.15, -11.24
96, 0.44, 0.80, 0.41, -3.88, -4.20, -3.89
97, 0.42, 0.83, 0.42, -2.03, -4.17, 0.76
98, 0.41, 0.81, 0.41, -1.28, -6.15, 4.32
99, 0.38, 0.81, 0.43, -0.66, -6.44, 6.09
100, 0.36, 0.81, 0.42, -0.09, -5.54, 4.82
101, 0.33, 0.80, 0.42, -0.12, -4.44, 2.34
102, 0.34, 0.80, 0.42, 0.20, -2.20, 0.55
103, 0.35, 0.81, 0.42, -0.46, -0.37, -0.63
104, 0.35, 0.80, 0.42, -0.85, 0.78, -1.39
105, 0.36, 0.80, 0.42, -1.53, 0.31, -1.36
106, 0.38, 0.80, 0.42, -2.09, 0.40, -0.64
107, 0.38, 0.80, 0.41, -1.77, 0.81, 0.09
108, 0.40, 0.80, 0.40, -1.04, 1.91, 1.08
109, 0.39, 0.80, 0.41, -0.56, 2.64, 1.65
110, 0.38, 0.81, 0.43, -0.53, 2.38, 1.53
111, 0.37, 0.81, 0.41, -1.04, 2.64, 1.18
112, 0.37, 0.82, 0.42, -1.40, 3.44, 0.38
113, 0.37, 0.83, 0.43, -2.15, 2.99, -0.20
114, 0.36, 0.82, 0.43, -2.50, 2.21, -1.13
115, 0.37, 0.82, 0.42, -2.69, 2.24, -1.63
116, 0.38, 0.82, 0.41, -2.43, 3.33, -0.78
117, 0.39, 0.80, 0.41, -2.23, 5.30, 1.30
118, 0.39, 0.79, 0.41, -1.71, 8.18, 4.32
119, 0.40, 0.79, 0.40, -0.32, 12.37, 7.56
120, 0.42, 0.78, 0.39, 2.60, 19.07, 10.56
121, 0.44, 0.76, 0.36, 6.17, 26.72, 13.89
122, 0.45, 0.79, 0.41, 8.09, 32.79, 18.81
123, 0.50, 0.85, 0.46, 2.75, 45.39, 28.20
124, 0.50, 0.98, 0.65, -12.96, 47.53, 41.45
125, 0.48, 1.01, 0.64, -38.26, 30.37, 55.02
126, 0.43, 0.77, 0.37, -21.42, 12.18, 43.95
127, 0.32, 0.74, 0.33, -11.22, 1.39, 38.66
128, 0.27, 0.72, 0.37, -5.65, -0.70, 26.84
129, 0.27, 0.74, 0.41, -7.15, -1.98, 17.91
130, 0.22, 0.75, 0.43, -7.04, -0.66, 9.11
131, 0.17, 0.79, 0.48, -8.60, -1.69, 0.90
132, 0.19, 0.77, 0.44, -7.40, -1.92, -6.89
133, 0.27, 0.78, 0.46, -4.79, -1.01, -9.13
134, 0.34, 0.80, 0.47, -3.86, 2.06, -7.73
135, 0.37, 0.80, 0.47, -3.77, 3.66, -3.48
136, 0.38, 0.78, 0.45, -3.40, 3.76, 1.54
137, 0.39, 0.77, 0.44, -3.21, 6.55, 5.05
138, 0.37, 0.77, 0.43, -2.43, 9.54, 5.82
139, 0.35, 0.76, 0.43, -2.03, 11.48, 4.17
140, 0.35, 0.78, 0.45, -2.72, 11.77, 1.73
141, 0.37, 0.77, 0.45, -2.61, 11.63, -0.95
142, 0.39, 0.77, 0.45, -2.21, 10.92, -2.58
143, 0.41, 0.77, 0.44, -2.61, 9.82, -3.47
144, 0.42, 0.77, 0.45, -2.60, 9.65, -3.68
145, 0.43, 0.77, 0.45, -3.01, 8.60, -1.89
146, 0.41, 0.76, 0.45, -3.33, 7.59, -0.50
147, 0.41, 0.78, 0.45, -3.10, 5.79, 1.42
148, 0.39, 0.78, 0.45, -2.69, 4.41, 2.76
149, 0.37, 0.79, 0.48, -1.82, 7.28, 1.69
150, 0.35, 0.80, 0.45, -3.30, 4.41, 2.47
151, 0.33, 0.81, 0.48, -5.16, 8.96, 2.60
152, 0.33, 0.80, 0.46, -3.04, 1.65, 2.49
153, 0.33, 0.80, 0.48, -3.15, 0.78, 1.47
154, 0.35, 0.80, 0.46, -3.66, 0.58, 0.99
155, 0.36, 0.79, 0.46, -3.95, 1.25, 0.67
156, 0.36, 0.78, 0.46, -3.77, 1.10, 0.32
157, 0.37, 0.77, 0.45, -3.60, 0.32, -0.24
158, 0.39, 0.75, 0.46, -2.99, 0.17, -0.27
159, 0.40, 0.76, 0.44, -2.43, 0.76, -0.18
160, 0.40, 0.76, 0.46, -2.00, 1.04, 0.41
161, 0.39, 0.76, 0.46, -1.56, 1.13, 0.76
162, 0.38, 0.77, 0.46, -1.34, 0.99, 0.89
163, 0.38, 0.78, 0.46, -1.33, 0.92, 0.92
164, 0.37, 0.79, 0.46, -1.53, 0.49, 0.50
165, 0.36, 0.78, 0.46, -1.69, 0.21, -0.27
166, 0.37, 0.79, 0.46, -2.11, -0.53, -0.79
167, 0.38, 0.78, 0.47, -2.37, -1.15, -0.89
168, 0.39, 0.77, 0.48, -2.24, -1.27, -0.92
169, 0.42, 0.78, 0.44, -7.01, 0.82, 0.32
170, 0.34, 0.74, 0.43, -2.06, -0.92, -0.29
171, 0.37, 0.78, 0.46, -1.21, -0.12, -0.17
172, 0.35, 0.78, 0.45, -1.48, -0.44, -0.18
173, 0.36, 0.78, 0.45, -0.78, 0.38, 0.15
174, 0.35, 0.79, 0.46, -1.27, 0.67, -0.21
175, 0.35, 0.79, 0.46, -1.33, 0.02, -0.58
176, 0.37, 0.79, 0.47, -1.97, -0.38, -0.23
177, 0.38, 0.79, 0.47, -2.14, -0.06, -0.15
178, 0.38, 0.78, 0.47, -2.00, 0.47, -0.56
179, 0.38, 0.78, 0.46, -2.05, 0.20, -0.03
180, 0.38, 0.78, 0.44, -1.19, 0.34, -0.60
181, 0.39, 0.77, 0.46, -1.25, 0.49, -0.70
182, 0.38, 0.78, 0.46, -0.66, 0.53, -0.17
183, 0.37, 0.77, 0.47, -0.46, 0.72, 0.00
184, 0.37, 0.78, 0.46, -0.46, 0.44, 0.05
185, 0.37, 0.78, 0.46, -0.78, -0.43, 0.38
186, 0.36, 0.78, 0.46, -1.01, -0.53, 0.29
187, 0.38, 0.78, 0.47, -1.05, -0.43, 0.46
188, 0.36, 0.78, 0.46, -1.25, -0.08, 0.34
189, 0.36, 0.78, 0.46, -1.05, -0.09, 0.11
190, 0.37, 0.78, 0.47, -1.21, -0.44, -0.14
191, 0.38, 0.78, 0.46, -0.89, 0.37, -0.18
192, 0.38, 0.78, 0.46, -0.56, 0.14, 0.18
193, 0.37, 0.78, 0.46, -0.85, 0.12, 0.41
194, 0.38, 0.78, 0.47, -0.52, 0.05, 0.56
195, 0.37, 0.77, 0.45, -0.35, -0.03, 0.09
196, 0.38, 0.78, 0.46, -0.37, 0.17, 0.26
197, 0.37, 0.78, 0.46, -0.41, 0.15, 0.23
198, 0.37, 0.78, 0.46, -0.84, 0.17, 0.17
199, 0.38, 0.78, 0.46, -1.16, 0.29, 0.32
