Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.44, 0.72, 0.50, -1.28, 0.37, -0.05
1, 0.44, 0.71, 0.50, -1.56, 0.05, -0.14
2, 0.44, 0.71, 0.49, -1.37, -0.12, -0.31
3, 0.44, 0.71, 0.49, -1.44, 0.00, -0.40
4, 0.44, 0.71, 0.50, -1.42, 0.63, -0.67
5, 0.44, 0.71, 0.50, -1.18, 0.53, -0.29
6, 0.45, 0.72, 0.49, -1.77, 0.34, 0.18
7, 0.44, 0.72, 0.49, -1.57, 0.12, 0.26
8, 0.44, 0.72, 0.50, -1.89, -0.20, 0.18
9, 0.43, 0.72, 0.50, -2.05, 0.06, 0.00
10, 0.43, 0.73, 0.49, -2.34, -0.15, -0.40
11, 0.44, 0.72, 0.51, -1.89, -0.02, -0.24
12, 0.43, 0.72, 0.50, -1.91, -0.03, -0.41
13, 0.44, 0.72, 0.50, -1.69, -0.47, -0.17
14, 0.43, 0.72, 0.51, -1.40, -0.47, 0.26
15, 0.43, 0.72, 0.50, -1.18, -0.61, 0.67
16, 0.43, 0.72, 0.50, -0.92, -0.11, 0.58
17, 0.43, 0.72, 0.50, -1.01, 0.32, 0.35
18, 0.43, 0.72, 0.49, -0.84, 0.46, 0.12
19, 0.44, 0.73, 0.50, -0.56, 0.81, -0.38
20, 0.44, 0.72, 0.50, -0.85, 0.52, -0.52
21, 0.44, 0.72, 0.50, -1.16, 0.35, -0.64
22, 0.44, 0.72, 0.49, -0.98, -0.53, -0.27
23, 0.44, 0.72, 0.50, -1.16, -1.02, -0.18
24, 0.45, 0.72, 0.49, -1.34, -1.85, 0.20
25, 0.44, 0.72, 0.49, -1.25, -1.76, 0.49
26, 0.43, 0.72, 0.49, -0.95, -1.92, 0.32
27, 0.44, 0.72, 0.50, -0.85, -1.80, 0.06
28, 0.43, 0.73, 0.50, -0.60, -1.60, -0.24
29, 0.43, 0.72, 0.50, -0.85, -1.24, -0.55
30, 0.43, 0.72, 0.50, -0.95, -1.34, -0.55
31, 0.44, 0.72, 0.50, -0.99, -1.30, -0.27
32, 0.45, 0.73, 0.49, -1.30, -1.25, 0.18
33, 0.44, 0.72, 0.50, -1.47, -1.05, 0.49
34, 0.44, 0.72, 0.50, -1.57, -1.08, 0.63
35, 0.44, 0.73, 0.51, -1.45, -1.27, 0.32
36, 0.44, 0.73, 0.50, -1.24, -1.53, 0.66
37, 0.44, 0.73, 0.50, -1.04, -1.71, 0.53
38, 0.44, 0.72, 0.49, -1.04, -2.24, 0.21
39, 0.44, 0.72, 0.49, -0.73, -2.81, 0.23
40, 0.44, 0.71, 0.48, -0.46, -3.18, 0.12
41, 0.45, 0.71, 0.48, 0.41, -3.19, -0.20
42, 0.44, 0.70, 0.48, 1.30, -2.40, -0.55
43, 0.45, 0.71, 0.48, 1.42, -1.79, -0.82
44, 0.45, 0.71, 0.48, 1.76, -1.74, -1.11
45, 0.45, 0.71, 0.49, 2.21, -1.97, -1.04
46, 0.44, 0.72, 0.49, 2.24, -4.08, -0.87
47, 0.44, 0.73, 0.49, 1.95, -6.58, -0.85
48, 0.42, 0.73, 0.44, 3.13, -5.54, -2.11
49, 0.44, 0.73, 0.50, 1.48, -10.31, -2.31
50, 0.43, 0.72, 0.48, 2.00, -10.90, -3.27
51, 0.42, 0.73, 0.48, 2.63, -10.66, -5.05
52, 0.43, 0.72, 0.48, 2.40, -12.26, -5.65
53, 0.43, 0.72, 0.48, 3.33, -12.08, -6.37
54, 0.43, 0.72, 0.47, 4.06, -11.50, -7.02
55, 0.44, 0.72, 0.48, 4.81, -11.36, -7.02
56, 0.41, 0.73, 0.47, 5.36, -16.31, -5.60
57, 0.48, 0.73, 0.48, 5.69, -11.33, -5.40
58, 0.44, 0.75, 0.48, 4.78, -10.37, -3.94
59, 0.46, 0.74, 0.48, 3.66, -7.48, -3.71
60, 0.44, 0.74, 0.46, 3.57, -4.41, -4.76
61, 0.44, 0.74, 0.47, 3.13, -2.34, -5.69
62, 0.45, 0.73, 0.46, 3.10, -0.93, -6.44
63, 0.45, 0.72, 0.47, 3.73, -0.37, -6.87
64, 0.41, 0.72, 0.45, 4.98, 1.02, -9.66
65, 0.46, 0.74, 0.44, 7.60, 10.11, -19.33
66, 0.40, 0.73, 0.47, 9.45, 4.06, -14.52
67, 0.40, 0.76, 0.50, 5.71, 0.70, -16.21
68, 0.37, 0.74, 0.45, 7.02, -0.46, -19.01
69, 0.41, 0.75, 0.42, 6.98, 14.63, -25.31
70, 0.35, 0.78, 0.51, 8.35, 2.90, -23.54
71, 0.40, 0.75, 0.46, 6.24, 6.44, -26.11
72, 0.38, 0.76, 0.47, 5.44, 5.79, -26.72
73, 0.42, 0.73, 0.45, 5.65, 8.49, -27.48
74, 0.43, 0.76, 0.48, 5.45, 6.75, -26.61
75, 0.49, 0.77, 0.45, 5.19, 6.18, -24.02
76, 0.50, 0.81, 0.50, 3.69, 6.46, -19.31
77, 0.53, 0.81, 0.46, 1.66, 4.96, -13.69
78, 0.49, 0.79, 0.47, 0.93, 0.12, -8.49
79, 0.46, 0.78, 0.46, 1.53, -3.48, -6.63
80, 0.45, 0.79, 0.46, 1.62, -5.34, -3.50
81, 0.47, 0.71, 0.39, 6.49, 7.40, -6.79
82, 0.38, 0.76, 0.45, 3.30, -2.27, -6.82
83, 0.38, 0.76, 0.46, 2.90, -1.80, -8.70
84, 0.41, 0.76, 0.45, 2.31, -2.41, -10.40
85, 0.41, 0.78, 0.44, 0.66, 5.51, -12.26
86, 0.38, 0.80, 0.50, 0.41, -0.95, -9.68
87, 0.40, 0.79, 0.45, -0.53, -0.38, -7.40
88, 0.42, 0.77, 0.46, -0.34, 0.31, -5.73
89, 0.42, 0.77, 0.47, 0.35, 0.93, -4.00
90, 0.40, 0.77, 0.46, 0.24, -0.24, -2.70
91, 0.40, 0.78, 0.45, 0.31, -0.70, -2.63
92, 0.40, 0.80, 0.46, 5.95, -4.92, -11.30
93, 0.40, 0.81, 0.48, -0.58, -1.08, -2.47
94, 0.41, 0.78, 0.42, -0.23, -0.32, -2.96
95, 0.40, 0.78, 0.46, -1.27, -2.32, -3.22
96, 0.40, 0.78, 0.46, -1.08, -2.12, -3.19
97, 0.38, 0.77, 0.46, -1.56, -1.69, -2.49
98, 0.39, 0.76, 0.45, -1.25, -0.35, -2.31
99, 0.38, 0.77, 0.45, -0.75, 0.32, -1.88
100, 0.40, 0.78, 0.46, -0.85, 0.38, -0.29
101, 0.41, 0.78, 0.45, -1.04, 0.70, 0.79
102, 0.41, 0.79, 0.45, -1.27, 1.80, 1.73
103, 0.41, 0.79, 0.44, -1.16, 2.49, 2.75
104, 0.41, 0.79, 0.45, -0.49, 2.63, 3.33
105, 0.40, 0.78, 0.45, -0.44, 2.32, 2.66
106, 0.39, 0.79, 0.46, -0.73, 1.98, 1.39
107, 0.39, 0.79, 0.47, -1.94, 2.50, 1.31
108, 0.41, 0.79, 0.47, -3.25, 3.91, 2.41
109, 0.42, 0.81, 0.49, -6.67, 4.64, 5.91
110, 0.46, 0.86, 0.56, -14.40, 1.11, 12.98
111, 0.49, 0.87, 0.58, -25.89, -5.33, 21.83
112, 0.44, 0.78, 0.45, -25.68, -1.48, 22.55
113, 0.38, 0.72, 0.40, -18.40, 1.10, 17.48
114, 0.38, 0.72, 0.38, -13.36, 4.03, 13.63
115, 0.38, 0.71, 0.40, -7.22, 5.37, 11.18
116, 0.43, 0.74, 0.48, -6.55, 7.50, 10.98
117, 0.42, 0.73, 0.45, -5.79, 12.72, 11.66
118, 0.42, 0.72, 0.45, -3.21, 15.86, 11.48
119, 0.41, 0.75, 0.49, -4.14, 13.85, 13.62
120, 0.43, 0.74, 0.46, -4.17, 14.15, 14.67
121, 0.42, 0.77, 0.50, -5.01, 11.45, 16.17
122, 0.41, 0.77, 0.52, -6.99, 9.16, 16.85
123, 0.39, 0.77, 0.52, -10.32, 9.16, 17.57
124, 0.41, 0.75, 0.50, -15.34, 4.75, 18.37
125, 0.37, 0.75, 0.49, -17.11, 5.16, 17.80
126, 0.36, 0.74, 0.46, -15.02, 5.31, 15.30
127, 0.36, 0.73, 0.46, -13.82, 3.91, 12.38
128, 0.36, 0.73, 0.46, -11.98, 4.23, 9.30
129, 0.36, 0.74, 0.47, -12.26, 3.60, 6.99
130, 0.37, 0.75, 0.47, -11.69, 4.03, 3.82
131, 0.37, 0.73, 0.47, -10.72, 3.92, 1.65
132, 0.39, 0.74, 0.47, -9.02, 6.14, 0.35
133, 0.42, 0.75, 0.50, -9.57, 2.38, 1.33
134, 0.42, 0.77, 0.55, -14.34, -2.21, 4.03
135, 0.44, 0.72, 0.47, -12.81, 9.39, 3.68
136, 0.42, 0.72, 0.49, -12.09, -0.66, 6.17
137, 0.41, 0.71, 0.47, -8.38, 4.63, 4.06
138, 0.41, 0.71, 0.49, -7.60, 4.23, 5.30
139, 0.44, 0.73, 0.51, -9.08, 2.32, 5.89
140, 0.42, 0.70, 0.47, -4.23, 6.18, 4.31
141, 0.45, 0.71, 0.50, -3.16, 8.40, 4.44
142, 0.42, 0.72, 0.48, -2.17, 3.59, 5.47
143, 0.43, 0.73, 0.49, -1.27, 3.02, 5.36
144, 0.41, 0.73, 0.49, -0.46, 1.30, 5.39
145, 0.41, 0.74, 0.50, -0.03, 0.20, 5.04
146, 0.40, 0.73, 0.50, 0.47, 0.03, 2.90
147, 0.39, 0.74, 0.52, 0.24, 0.63, 1.63
148, 0.40, 0.73, 0.51, -0.63, 1.91, 0.98
149, 0.40, 0.74, 0.50, -0.52, 2.90, 0.82
150, 0.40, 0.74, 0.50, -0.70, 3.47, 0.87
151, 0.41, 0.73, 0.51, -0.64, 3.89, 0.90
152, 0.41, 0.73, 0.51, -0.53, 4.14, 1.04
153, 0.41, 0.73, 0.51, -0.85, 4.92, 0.82
154, 0.42, 0.73, 0.50, -0.70, 4.87, 0.24
155, 0.42, 0.73, 0.51, -0.79, 4.98, -0.43
156, 0.43, 0.73, 0.51, -1.33, 3.80, -0.29
157, 0.43, 0.73, 0.51, -1.76, 2.63, 0.00
158, 0.43, 0.73, 0.51, -2.05, 2.41, 0.37
159, 0.42, 0.73, 0.51, -2.12, 2.03, 1.21
160, 0.42, 0.73, 0.51, -2.38, 2.09, 1.60
161, 0.42, 0.73, 0.52, -2.41, 2.11, 1.79
162, 0.41, 0.73, 0.51, -2.14, 2.41, 1.62
163, 0.41, 0.72, 0.52, -2.17, 1.79, 0.90
164, 0.42, 0.72, 0.52, -1.97, 0.92, 1.10
165, 0.42, 0.73, 0.52, -2.70, 0.18, 1.47
166, 0.42, 0.72, 0.50, -2.32, -0.15, 1.48
167, 0.41, 0.72, 0.52, -2.26, -0.75, 1.51
168, 0.42, 0.72, 0.50, -2.29, -0.61, 1.01
169, 0.41, 0.72, 0.50, -2.06, -0.40, 0.73
170, 0.42, 0.73, 0.50, -2.08, -0.31, 0.44
171, 0.42, 0.72, 0.51, -2.03, 0.50, 0.41
172, 0.42, 0.72, 0.51, -1.88, 0.84, 0.58
