Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.59, 0.45, 0.66, -1.62, -0.43, 0.00
1, 0.60, 0.45, 0.66, -1.60, -0.34, 0.09
2, 0.59, 0.45, 0.66, -0.99, 0.73, 0.58
3, 0.61, 0.45, 0.65, -1.44, 1.24, 0.85
4, 0.62, 0.45, 0.65, -1.31, 0.85, 0.34
5, 0.61, 0.46, 0.66, -1.08, 0.64, -0.37
6, 0.61, 0.47, 0.65, -1.05, 0.50, -0.78
7, 0.61, 0.47, 0.66, -0.70, 0.72, -1.01
8, 0.60, 0.46, 0.66, -0.63, -0.29, -1.42
9, 0.60, 0.45, 0.65, -0.29, -1.04, -1.56
10, 0.60, 0.45, 0.66, -0.26, -0.23, -1.73
11, 0.60, 0.44, 0.65, -0.99, 1.04, -1.45
12, 0.60, 0.44, 0.65, -1.11, 2.09, -1.13
13, 0.60, 0.45, 0.66, -1.51, 1.77, -0.56
14, 0.60, 0.46, 0.65, -1.76, 1.11, -0.47
15, 0.60, 0.46, 0.64, -1.77, 0.70, -0.66
16, 0.60, 0.46, 0.65, -2.14, 0.23, -0.99
17, 0.60, 0.46, 0.66, -1.97, -0.64, -0.87
18, 0.60, 0.45, 0.65, -1.89, -0.08, -0.61
19, 0.60, 0.46, 0.65, -1.85, 0.70, -0.23
20, 0.61, 0.44, 0.65, -1.71, 1.45, -0.11
21, 0.61, 0.45, 0.66, -1.36, 1.69, 0.00
22, 0.61, 0.45, 0.66, -1.05, 1.60, -0.15
23, 0.60, 0.45, 0.65, -0.87, 1.88, 0.06
24, 0.60, 0.45, 0.66, -0.66, 1.89, 0.18
25, 0.61, 0.46, 0.66, -0.50, 1.54, -0.21
26, 0.60, 0.46, 0.66, -0.43, 2.11, -0.23
27, 0.60, 0.46, 0.66, -0.09, 2.34, -0.24
28, 0.60, 0.45, 0.66, 0.03, 2.32, -0.37
29, 0.60, 0.45, 0.66, 0.34, 1.92, -0.58
30, 0.60, 0.45, 0.66, -0.46, 0.96, -0.37
31, 0.60, 0.45, 0.66, -0.52, 1.34, -0.53
32, 0.62, 0.46, 0.66, -0.93, 1.57, -0.41
33, 0.61, 0.46, 0.66, -0.47, 1.51, -0.53
34, 0.61, 0.45, 0.65, -0.29, 0.29, -0.90
35, 0.61, 0.46, 0.65, 0.38, -1.18, -1.65
36, 0.60, 0.45, 0.66, 0.23, -3.25, -3.36
37, 0.59, 0.46, 0.66, 1.40, -4.52, -7.30
38, 0.57, 0.46, 0.67, 2.27, -6.56, -11.28
39, 0.56, 0.49, 0.65, 3.39, -12.53, -20.11
40, 0.56, 0.48, 0.65, 7.16, -18.44, -31.36
41, 0.57, 0.49, 0.64, 11.48, -24.84, -44.09
42, 0.61, 0.47, 0.61, 13.83, -26.31, -52.24
43, 0.60, 0.46, 0.61, 16.11, -23.66, -63.42
44, 0.61, 0.47, 0.62, 17.36, -27.25, -82.17
45, 0.68, 0.50, 0.63, 14.92, -25.34, -71.25
46, 0.61, 0.45, 0.65, 22.69, -31.05, -67.11
47, 0.57, 0.50, 0.64, 30.44, -41.18, -73.30
48, 0.54, 0.55, 0.61, 32.92, -43.01, -81.25
49, 0.57, 0.55, 0.60, 32.02, -35.79, -78.26
50, 0.60, 0.53, 0.65, 28.29, -32.73, -70.70
51, 0.65, 0.54, 0.61, 24.98, -31.04, -56.81
52, 0.67, 0.53, 0.60, 21.25, -30.49, -37.68
53, 0.65, 0.55, 0.55, 17.40, -28.23, -19.28
54, 0.67, 0.55, 0.61, 9.21, -23.92, -5.34
55, 0.63, 0.57, 0.61, 13.13, -17.24, 1.01
56, 0.64, 0.56, 0.59, 13.92, -11.37, 11.51
57, 0.65, 0.56, 0.56, 14.66, -9.62, 23.18
58, 0.64, 0.55, 0.53, 10.75, -10.32, 33.42
59, 0.67, 0.54, 0.56, 8.49, -6.96, 45.91
60, 0.66, 0.54, 0.56, 8.64, -3.44, 54.14
61, 0.66, 0.57, 0.53, 9.77, -0.06, 60.75
62, 0.66, 0.58, 0.55, 8.27, 1.28, 64.63
63, 0.68, 0.55, 0.55, 6.99, 5.10, 72.81
64, 0.65, 0.54, 0.55, 6.64, 7.77, 77.98
65, 0.54, 0.61, 0.58, 4.34, -1.34, 62.03
66, 0.46, 0.64, 0.62, 5.37, -1.02, 43.92
67, 0.53, 0.57, 0.64, 8.52, 8.41, 40.38
68, 0.60, 0.54, 0.57, 7.77, 7.85, 38.56
69, 0.59, 0.55, 0.56, 2.50, -1.94, 27.45
70, 0.56, 0.56, 0.57, 3.59, -7.22, 9.74
71, 0.53, 0.57, 0.59, 11.59, -6.81, -11.34
72, 0.51, 0.56, 0.56, 17.25, -10.66, -38.20
73, 0.51, 0.57, 0.55, 17.25, -17.15, -65.21
74, 0.55, 0.57, 0.56, 18.72, -14.67, -82.40
75, 0.59, 0.56, 0.53, 18.02, -4.44, -83.94
76, 0.60, 0.55, 0.54, 15.71, 2.24, -82.53
77, 0.59, 0.55, 0.51, 15.47, 9.44, -77.01
78, 0.63, 0.54, 0.53, 15.18, 17.21, -64.79
79, 0.61, 0.56, 0.52, 13.53, 20.93, -54.05
80, 0.62, 0.58, 0.54, 13.05, 18.53, -47.95
81, 0.63, 0.60, 0.53, 12.64, 16.12, -41.51
82, 0.64, 0.61, 0.52, 10.55, 13.88, -33.04
83, 0.63, 0.60, 0.53, 8.79, 12.24, -21.68
84, 0.61, 0.61, 0.52, 7.15, 12.98, -10.75
85, 0.60, 0.61, 0.52, 6.37, 16.89, -0.98
86, 0.61, 0.61, 0.53, 3.97, 19.34, 6.78
87, 0.65, 0.60, 0.54, 2.72, 24.58, 19.37
88, 0.72, 0.59, 0.52, -0.09, 36.09, 46.12
89, 0.75, 0.56, 0.48, -5.69, 50.31, 84.66
90, 0.70, 0.63, 0.44, -14.58, 56.03, 111.86
91, 0.68, 0.67, 0.51, -25.89, 60.81, 135.76
92, 0.62, 0.71, 0.58, -33.50, 63.97, 148.64
93, 0.59, 0.75, 0.59, -38.15, 65.80, 151.86
94, 0.64, 0.59, 0.70, -47.95, 61.08, 155.47
95, 0.61, 0.51, 0.69, -46.70, 56.61, 153.16
96, 0.58, 0.41, 0.67, -42.87, 52.75, 139.56
97, 0.53, 0.36, 0.67, -37.69, 53.37, 124.00
98, 0.55, 0.38, 0.66, -39.19, 60.26, 111.40
99, 0.55, 0.37, 0.68, -35.47, 63.02, 99.07
100, 0.59, 0.39, 0.62, -28.00, 64.09, 88.90
