Time (ms), Acce_X, Acce_Y, Acce_Z, Gyro_X, Gyro_Y, Gyro_Z
0, 0.45, 0.72, 0.50, -1.05, 1.02, 1.56
1, 0.45, 0.72, 0.51, -1.39, 1.11, 1.57
2, 0.45, 0.72, 0.51, -1.53, 1.65, 1.53
3, 0.45, 0.72, 0.49, -1.80, 1.08, 1.56
4, 0.45, 0.71, 0.49, -1.98, 1.02, 1.25
5, 0.46, 0.71, 0.50, -1.77, 1.15, 0.89
6, 0.45, 0.71, 0.49, -1.66, 1.19, 0.66
7, 0.46, 0.71, 0.50, -1.36, 0.95, 0.66
8, 0.46, 0.71, 0.49, -1.28, 0.73, 0.31
9, 0.45, 0.70, 0.50, -1.11, 1.05, 0.11
10, 0.46, 0.70, 0.50, -1.08, 1.28, -0.09
11, 0.46, 0.70, 0.49, -1.07, 1.19, -0.02
12, 0.46, 0.71, 0.49, -0.84, 0.66, 0.03
13, 0.45, 0.71, 0.49, -0.63, 0.64, 0.05
14, 0.46, 0.71, 0.50, -0.85, 0.14, 0.20
15, 0.46, 0.71, 0.50, -0.49, 0.63, -0.55
16, 0.46, 0.71, 0.50, -0.90, 0.03, -0.15
17, 0.45, 0.71, 0.51, -0.76, 0.00, 0.21
18, 0.45, 0.72, 0.50, -0.72, -0.56, 0.41
19, 0.46, 0.72, 0.52, -1.05, -0.85, 0.50
20, 0.45, 0.72, 0.51, -1.66, -0.49, 0.37
21, 0.45, 0.71, 0.50, -1.69, 0.41, -0.49
22, 0.46, 0.71, 0.51, -1.63, 0.84, -0.43
23, 0.46, 0.70, 0.50, -1.33, 0.84, -0.60
24, 0.46, 0.71, 0.50, -1.50, 0.73, -0.41
25, 0.46, 0.71, 0.50, -1.76, 0.79, -0.15
26, 0.45, 0.71, 0.50, -1.76, 1.04, -0.20
27, 0.49, 0.72, 0.47, -3.95, 13.33, -6.61
28, 0.42, 0.72, 0.53, 0.50, 2.72, -1.28
29, 0.45, 0.71, 0.50, -1.65, 2.85, -1.19
30, 0.46, 0.70, 0.50, -1.50, 2.64, -1.13
31, 0.46, 0.71, 0.50, -1.27, 1.76, -0.70
32, 0.46, 0.72, 0.51, -1.22, 0.73, 0.14
33, 0.45, 0.72, 0.50, -1.04, 0.12, 0.08
34, 0.45, 0.72, 0.50, -0.73, -0.23, -0.02
35, 0.45, 0.72, 0.51, -0.70, -0.46, -0.32
36, 0.44, 0.72, 0.51, -0.44, -1.59, -0.56
37, 0.44, 0.71, 0.51, -0.49, -2.75, -0.43
38, 0.43, 0.70, 0.51, -0.38, -3.31, -0.69
39, 0.44, 0.71, 0.49, -0.05, -3.36, -1.33
40, 0.43, 0.70, 0.49, 1.16, -3.51, -1.85
41, 0.42, 0.70, 0.49, 2.47, -4.09, -3.30
42, 0.41, 0.70, 0.48, 3.91, -6.35, -5.01
43, 0.40, 0.67, 0.51, 5.73, -11.57, -6.49
